rank,code,name,start_price,end_price,gain_pct,max_gain_pct,high,low,days,turnover_avg,amount_avg_wan
1,sz000062,深圳华强,9.52,30.18,217.02,345.27,42.39,7.88,86,2.81,74712.05
2,sz000908,ST景峰,1.23,2.99,143.09,182.11,3.47,0.49,86,4.0,8704.96
3,sh600611,大众交通,2.88,6.73,133.68,333.33,12.48,2.66,86,14.15,182585.21
4,sh688090,瑞松科技,13.16,30.72,133.43,165.5,34.94,12.83,86,3.14,9215.93
5,sh600550,保变电气,4.34,10.11,132.95,132.95,10.11,4.05,86,2.86,31553.31
6,sh603559,ST通脉,3.15,5.59,77.46,77.46,5.59,2.39,86,1.47,1241.22
7,sz300061,旗天科技,4.17,7.07,69.54,124.7,9.37,3.29,86,9.87,36788.98
8,sh600171,上海贝岭,12.33,20.15,63.42,119.3,27.04,11.56,86,13.67,197078.16
9,sz300147,*ST香雪,3.92,6.37,62.5,200.77,11.79,3.16,86,9.59,46504.37
10,sz002700,万憬能源,5.84,9.39,60.79,88.87,11.03,5.59,86,1.02,3441.81
11,sz300746,汉嘉数智,7.21,11.41,58.25,58.25,11.41,5.59,84,2.75,4664.59
12,sz300622,博士眼镜,11.29,17.64,56.24,155.36,28.83,8.61,86,10.18,29496.97
13,sz003001,中岩大地,10.29,15.73,52.87,65.69,17.05,8.79,86,4.58,6814.03
14,sh603991,至正股份,29.85,45.49,52.4,54.0,45.97,27.28,86,2.23,5899.79
15,sz300125,*ST聆达,2.19,3.31,51.14,98.63,4.35,1.19,86,13.03,11597.74
16,sz300209,行云科技,2.05,3.09,50.73,77.56,3.64,1.42,86,2.28,2771.17
17,sz002488,金固股份,5.24,7.88,50.38,50.76,7.9,4.12,86,2.44,13381.77
18,sz001298,好上好,7.77,11.59,49.16,102.83,15.76,7.34,86,18.63,44485.73
19,sz002693,*ST双成,5.66,8.39,48.23,48.23,8.39,4.0,76,2.29,4645.34
20,sh600216,浙江医药,10.25,14.64,42.83,66.73,17.09,9.12,86,3.47,44859.59
21,sh688428,诺诚健华,8.11,11.58,42.79,47.97,12.0,7.28,86,1.82,4206.55
22,sh600418,江淮汽车,15.24,21.74,42.65,53.35,23.37,14.62,86,4.8,197020.81
23,sz003026,中晶科技,20.29,28.82,42.04,81.52,36.83,19.05,86,14.13,32287.26
24,sh600187,*ST国中,2.27,3.22,41.85,68.28,3.82,1.3,86,8.38,36209.83
25,sz300469,信息发展,10.79,15.12,40.13,60.24,17.29,8.13,86,14.72,49052.96
26,sh603626,科森科技,6.02,8.42,39.87,141.36,14.53,4.6,86,5.21,22532.66
27,sz300046,台基股份,10.76,15.05,39.87,107.06,22.28,10.02,86,14.72,61948.93
28,sh605117,德业股份,45.03,62.67,39.17,56.7,70.56,42.8,86,1.38,69106.72
29,sz001379,腾达科技,15.7,21.61,37.64,149.68,39.2,12.06,86,21.71,26587.85
30,sz300338,*ST开元,1.71,2.33,36.26,60.82,2.75,1.02,86,7.12,4357.13
31,sz002309,中利集团,1.75,2.38,36.0,36.0,2.38,1.42,86,1.24,1922.58
